YEAR,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION,HWY (L/100 km),COMB (L/100 km),COMB (mpg),EMISSIONS
2012,Germany,BOXSTER,TWO-SEATER,2.9,6,M6,Z,11.2,7.4,9.5,30,218
2012,Germany,BOXSTER S,TWO-SEATER,3.4,6,AS7,Z,10.6,6.7,8.9,32,205
2012,Germany,BOXSTER S,TWO-SEATER,3.4,6,M6,Z,11.1,7.5,9.5,30,218
2012,Germany,BOXSTER S BLACK EDITION,TWO-SEATER,3.4,6,AS7,Z,10.6,6.7,8.9,32,205
2012,Germany,BOXSTER S BLACK EDITION,TWO-SEATER,3.4,6,M6,Z,11.1,7.5,9.5,30,218
2012,Germany,CAYENNE,SUV,3.6,6,AS8,Z,12.9,8.6,10.9,26,251
2012,Germany,CAYENNE,SUV,3.6,6,M6,Z,14.1,9.3,11.9,24,274
2012,Germany,CAYENNE GTS,SUV,4.8,8,AS8,Z,13.4,8.8,11.3,25,260
2012,Germany,CAYENNE S,SUV,4.8,8,AS8,Z,13.4,8.8,11.3,25,260
2012,Germany,CAYENNE S HYBRID,SUV,3.0,6,AS8,Z,10.4,8.4,9.5,30,218
2012,Germany,CAYENNE TURBO,SUV,4.8,8,AS8,Z,14.3,9.3,12.0,24,276
2012,Germany,CAYMAN,TWO-SEATER,2.9,6,AS7,Z,10.2,6.7,8.6,33,198
2012,Germany,CAYMAN,TWO-SEATER,2.9,6,M6,Z,11.2,7.4,9.5,30,218
2012,Germany,CAYMAN R,TWO-SEATER,3.4,6,AS7,Z,10.4,6.7,8.7,32,200
2012,Germany,CAYMAN R,TWO-SEATER,3.4,6,M6,Z,10.8,7.5,9.3,30,214
2012,Germany,CAYMAN S,TWO-SEATER,3.4,6,AS7,Z,10.6,6.7,8.9,32,205
2012,Germany,CAYMAN S,TWO-SEATER,3.4,6,M6,Z,11.1,7.5,9.5,30,218
2012,Germany,CAYMAN S BLACK EDITION,TWO-SEATER,3.4,6,AS7,Z,10.6,6.7,8.9,32,205
2012,Germany,CAYMAN S BLACK EDITION,TWO-SEATER,3.4,6,M6,Z,11.1,7.5,9.5,30,218
2012,Germany,NEW 911 CARRERA,MINICOMPACT,3.4,6,AS7,Z,10.1,6.9,8.7,32,200
2012,Germany,NEW 911 CARRERA,MINICOMPACT,3.4,6,M7,Z,11.0,7.2,9.3,30,214
2012,Germany,NEW 911 CARRERA CABRIOLET,MINICOMPACT,3.4,6,AS7,Z,10.2,7.0,8.8,32,202
2012,Germany,NEW 911 CARRERA CABRIOLET,MINICOMPACT,3.4,6,M7,Z,10.9,7.3,9.3,30,214
2012,Germany,NEW 911 CARRERA S,MINICOMPACT,3.8,6,AS7,Z,10.6,7.3,9.1,31,209
2012,Germany,NEW 911 CARRERA S,MINICOMPACT,3.8,6,M7,Z,11.1,7.2,9.4,30,216
2012,Germany,NEW 911 CARRERA S CABRIOLET,MINICOMPACT,3.8,6,AS7,Z,10.9,7.3,9.3,30,214
2012,Germany,NEW 911 CARRERA S CABRIOLET,MINICOMPACT,3.8,6,M7,Z,11.2,7.4,9.5,30,218
2012,Germany,PANAMERA,FULL-SIZE,3.6,6,AS7,Z,11.6,7.4,9.7,29,223
2012,Germany,PANAMERA 4,FULL-SIZE,3.6,6,AS7,Z,11.8,7.6,9.9,29,228
2012,Germany,PANAMERA 4S,FULL-SIZE,4.8,8,AS7,Z,12.9,8.3,10.9,26,251
2012,Germany,PANAMERA S,FULL-SIZE,4.8,8,AS7,Z,12.9,8.3,10.9,26,251
2012,Germany,PANAMERA S HYBRID,FULL-SIZE,3.0,6,AS8,Z,8.6,6.8,7.8,36,179
2012,Germany,PANAMERA TURBO,FULL-SIZE,4.8,8,AS7,Z,14.1,8.6,11.7,24,269
2012,Germany,PANAMERA TURBO S,FULL-SIZE,4.8,8,AS7,Z,14.1,8.6,11.7,24,269
2012,United_State,1500,PICKUP TRUCK - STANDARD,3.7,6,A4,X,15.0,10.0,12.8,22,294
2012,United_State,1500 (FuelSaver MDS),PICKUP TRUCK - STANDARD,5.7,8,A6,X,15.4,10.2,13.1,22,301
2012,United_State,1500 4X4 (FuelSaver MDS),PICKUP TRUCK - STANDARD,5.7,8,A6,X,15.8,10.8,13.6,21,313
2012,United_State,1500 FFV,PICKUP TRUCK - STANDARD,4.7,8,A6,X,15.0,10.2,12.9,22,297
2012,United_State,1500 FFV,PICKUP TRUCK - STANDARD,4.7,8,A6,E,22.0,16.2,19.4,15,310
2012,United_State,1500 FFV 4X4,PICKUP TRUCK - STANDARD,4.7,8,A6,X,15.3,10.5,13.1,22,301
2012,United_State,1500 FFV 4X4,PICKUP TRUCK - STANDARD,4.7,8,A6,E,22.0,16.2,19.4,15,310
2012,United_State,CARGO VAN FFV,MINIVAN,3.6,6,AS6,X,12.2,7.9,10.3,27,237
2012,United_State,CARGO VAN FFV,MINIVAN,3.6,6,AS6,E,17.3,11.2,14.5,19,232
2012,United_Kingdom,GHOST,FULL-SIZE,6.6,12,A8,Z,16.2,10.1,13.5,21,310
2012,United_Kingdom,GHOST EWB,FULL-SIZE,6.6,12,A8,Z,16.2,10.1,13.5,21,310
2012,United_Kingdom,PHANTOM,FULL-SIZE,6.7,12,A6,Z,18.7,11.4,15.4,18,354
2012,United_Kingdom,PHANTOM COUPE,COMPACT,6.7,12,A6,Z,18.7,11.4,15.4,18,354
2012,United_Kingdom,PHANTOM DROPHEAD COUPE,COMPACT,6.7,12,A6,Z,18.7,11.4,15.4,18,354
2012,United_Kingdom,PHANTOM EWB,FULL-SIZE,6.7,12,A6,Z,18.7,11.4,15.4,18,354
2012,United_State,iQ,MINICOMPACT,1.3,4,AV,X,5.5,4.7,5.1,55,117
2012,United_State,tC,COMPACT,2.5,4,AS6,X,8.9,6.3,7.7,37,177
2012,United_State,tC,COMPACT,2.5,4,M6,X,9.2,6.4,8.0,35,184
2012,United_State,xB,STATION WAGON - SMALL,2.4,4,AS4,X,9.5,7.2,8.5,33,196
2012,United_State,xB,STATION WAGON - SMALL,2.4,4,M5,X,9.5,7.2,8.4,34,193
2012,United_State,xD,SUBCOMPACT,1.8,4,A4,X,7.6,5.9,6.8,42,156
2012,United_State,xD,SUBCOMPACT,1.8,4,M5,X,7.4,5.9,6.7,42,154
2012,China,FORTWO CABRIOLET,TWO-SEATER,1.0,3,AS5,Z,5.8,4.7,5.3,53,122
2012,China,FORTWO COUPE,TWO-SEATER,1.0,3,AS5,Z,5.8,4.7,5.3,53,122
2012,Japan,FORESTER AWD,SUV,2.5,4,AS4,Z,11.0,8.4,9.8,29,225
2012,Japan,FORESTER AWD,SUV,2.5,4,AS4,X,9.9,7.5,8.8,32,202
2012,Japan,FORESTER AWD,SUV,2.5,4,M5,X,9.9,7.4,8.8,32,202
2012,Japan,IMPREZA AWD,COMPACT,2.0,4,AV,X,7.5,5.5,6.6,43,152
2012,Japan,IMPREZA AWD,STATION WAGON - SMALL,2.0,4,AV,X,7.5,5.5,6.6,43,152
2012,Japan,IMPREZA AWD,COMPACT,2.0,4,M5,X,8.3,5.9,7.3,39,168
2012,Japan,IMPREZA AWD,STATION WAGON - SMALL,2.0,4,M5,X,8.3,5.9,7.3,39,168
2012,Japan,LEGACY AWD,MID-SIZE,2.5,4,AV,X,9.1,6.4,7.9,36,182
2012,Japan,LEGACY AWD,MID-SIZE,2.5,4,M6,Z,11.5,8.0,9.9,29,228
2012,Japan,LEGACY AWD,MID-SIZE,2.5,4,M6,X,10.6,7.4,9.2,31,212
2012,Japan,LEGACY AWD,MID-SIZE,3.6,6,AS5,X,11.8,8.2,10.2,28,235
2012,Japan,OUTBACK AWD,SUV,2.5,4,AV,X,9.5,6.9,8.3,34,191
2012,Japan,OUTBACK AWD,SUV,2.5,4,M6,X,10.6,7.4,9.2,31,212
2012,Japan,OUTBACK AWD,SUV,3.6,6,AS5,X,11.8,8.2,10.2,28,235
2012,Japan,TRIBECA,SUV,3.6,6,AS5,X,13.1,9.4,11.4,25,262
2012,Japan,WRX AWD,COMPACT,2.5,4,M5,Z,11.1,8.0,9.7,29,223
2012,Japan,WRX AWD,STATION WAGON - SMALL,2.5,4,M5,Z,11.1,8.0,9.7,29,223
2012,Japan,WRX STI AWD,COMPACT,2.5,4,M6,Z,12.6,8.8,10.9,26,251
2012,Japan,WRX STI AWD,STATION WAGON - SMALL,2.5,4,M6,Z,12.6,8.8,10.9,26,251
2012,Japan,GRAND VITARA,SUV,2.4,4,A4,X,11.2,8.6,10.0,28,230
